actor,role,title,award,score_1,score_2,num_reviews,polarity_mean,objectivity_mean,numeric_key,ordering,height,year,duration,avg_vote,votes,budget,worlwide_gross_income,metascore,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes,age_at_performance
William Holden,bill seacroft,dear wife,0.0,0.0,0.0,0.0,0.0,0.0,227,1,180.0,1949,88,6.5,194,0,0,0,6.5,194,6.8,7.0,20,7,25,52,55,23,9,1,0,2,0,0,9.3,3.0,6.4,33.0,6.5,108.0,6.2,95.0,0,0,8.0,1.0,6.2,19.0,6.1,72.0,7.1,51.0,0,0,10.0,2.0,6.8,14.0,7.1,34.0,6.2,31.0,6.5,106.0,6.4,36.0,31.0
William Holden,jim dawkins,streets of laredo,0.0,75.0,57.0,3.0,0.14027597402597405,0.3553246753246753,227,1,180.0,1949,93,6.7,595,1472000,0,0,6.7,595,6.9,7.0,42,39,103,186,133,65,16,4,1,6,0,0,7.1,13.0,6.5,88.0,6.7,378.0,6.6,437.0,0,0,6.9,7.0,6.4,77.0,6.7,347.0,7.0,48.0,0,0,7.4,6.0,7.6,10.0,6.8,29.0,6.5,77.0,6.9,246.0,6.4,213.0,31.0
William Holden,capt del stewart,the man from colorado,0.0,0.0,0.0,0.0,0.0,0.0,227,2,180.0,1948,100,6.6,1468,1000000,0,0,6.6,1468,6.7,7.0,85,51,233,516,349,143,49,20,8,14,0,0,7.1,31.0,6.4,288.0,6.7,851.0,6.6,1078.0,0,0,7.0,23.0,6.4,250.0,6.7,772.0,6.6,118.0,0,0,7.4,8.0,6.0,35.0,6.9,73.0,6.7,147.0,6.7,460.0,6.6,650.0,30.0
William Holden,jason taylor,apartment for peggy,0.0,0.0,0.0,0.0,0.0,0.0,227,2,180.0,1948,96,7.2,880,0,0,0,7.2,880,7.4,8.0,120,88,233,248,105,40,15,12,15,4,7.0,1.0,7.4,19.0,6.8,119.0,7.3,499.0,7.1,449.0,7.0,1.0,6.7,7.0,6.7,73.0,7.1,352.0,7.6,207.0,0,0,7.9,12.0,7.1,46.0,7.8,141.0,6.4,113.0,7.4,469.0,6.6,151.0,30.0
William Holden,david harvey,rachel and the stranger,0.0,63.0,67.0,4.0,0.43333333333333335,0.7416666666666667,227,2,180.0,1948,93,7.0,1827,0,0,0,7.0,1827,7.2,7.0,189,146,371,629,279,113,46,21,18,15,7.0,1.0,6.8,56.0,6.7,362.0,7.0,971.0,6.9,1004.0,0,0,6.8,23.0,6.6,231.0,6.9,721.0,7.2,417.0,7.0,1.0,6.7,33.0,7.0,127.0,7.5,242.0,6.6,165.0,7.1,790.0,6.6,557.0,30.0
William Holden,colin mcdonald,blaze of noon,0.0,0.0,0.0,0.0,0.0,0.0,227,2,180.0,1947,90,6.3,137,0,0,0,6.3,137,6.5,6.0,14,7,14,26,39,25,5,3,3,1,6.0,2.0,4.0,1.0,5.8,20.0,6.5,86.0,6.3,98.0,7.0,1.0,4.0,1.0,5.7,16.0,6.4,77.0,6.4,13.0,5.0,1.0,0,0,6.8,4.0,6.7,8.0,5.8,51.0,6.4,63.0,6.0,43.0,29.0
William Holden,lt william seacroft,dear ruth,0.0,0.0,0.0,1.0,0.5,0.7,227,2,180.0,1947,95,7.2,441,0,0,0,7.2,441,7.6,8.0,93,51,90,110,52,23,4,2,5,11,0,0,7.8,5.0,7.1,76.0,7.1,255.0,6.8,216.0,0,0,6.0,1.0,6.6,37.0,6.8,174.0,7.7,126.0,0,0,9.2,4.0,7.5,39.0,7.7,81.0,5.7,57.0,7.3,231.0,6.6,95.0,29.0
William Holden,norman reese,young and willing,0.0,0.0,0.0,0.0,0.0,0.0,227,1,180.0,1943,83,5.8,229,0,0,0,5.8,229,6.1,6.0,19,7,15,41,63,44,22,9,8,1,6.0,2.0,6.1,8.0,5.8,52.0,5.9,124.0,5.7,144.0,5.0,1.0,5.2,5.0,5.8,38.0,5.8,95.0,6.6,45.0,7.0,1.0,8.0,3.0,6.1,14.0,6.5,27.0,5.7,58.0,6.0,91.0,5.7,88.0,25.0
William Holden,michael stewart,meet the stewarts,0.0,0.0,0.0,0.0,0.0,0.0,227,1,180.0,1942,73,6.2,241,0,0,0,6.2,241,6.3,6.0,16,7,23,63,67,38,13,5,6,3,0,0,7.8,4.0,6.1,45.0,6.3,137.0,6.2,132.0,0,0,5.0,1.0,6.1,29.0,6.2,95.0,6.7,62.0,0,0,8.7,3.0,6.2,16.0,6.7,40.0,6.2,37.0,6.2,143.0,6.6,42.0,24.0
William Holden,casey kirby,the fleets in,0.0,0.0,0.0,0.0,0.0,0.0,227,2,180.0,1942,93,6.6,352,0,0,0,6.6,352,7.1,7.0,48,29,50,100,77,24,12,3,5,4,0,0,8.2,6.0,7.2,45.0,6.4,225.0,6.5,221.0,0,0,8.0,2.0,6.9,25.0,6.4,187.0,7.1,63.0,0,0,9.0,4.0,7.7,20.0,6.4,36.0,6.2,56.0,6.7,198.0,6.4,72.0,24.0
William Holden,andrew long,the remarkable andrew,0.0,0.0,0.0,1.0,0.5,0.75,227,2,180.0,1942,81,6.2,142,0,0,0,6.2,142,7.0,7.0,34,6,18,35,21,11,4,1,4,8,0,0,7.3,3.0,6.1,17.0,6.1,92.0,5.8,88.0,0,0,6.0,2.0,5.7,13.0,5.8,71.0,7.3,26.0,0,0,10.0,1.0,8.0,3.0,6.7,20.0,5.9,36.0,7.1,64.0,5.0,45.0,24.0
William Holden,dan thomas,texas,0.0,0.0,0.0,0.0,0.0,0.0,227,1,180.0,1941,93,6.7,1097,0,0,0,6.7,1097,6.9,7.0,73,71,197,376,218,97,29,19,10,7,6.0,1.0,6.5,27.0,6.5,209.0,6.8,636.0,6.7,766.0,6.0,1.0,6.3,17.0,6.5,174.0,6.8,554.0,7.0,121.0,0,0,7.0,10.0,6.3,30.0,7.2,79.0,6.4,127.0,7.0,444.0,6.5,390.0,23.0
William Holden,unknown,i wanted wings,0.0,0.0,0.0,0.0,0.0,0.0,227,2,180.0,1941,135,6.3,330,0,0,0,6.3,330,6.5,6.0,27,16,31,81,101,43,17,6,5,3,0,0,6.3,11.0,6.0,70.0,6.5,178.0,6.3,213.0,0,0,5.5,7.0,6.0,53.0,6.4,148.0,6.6,50.0,0,0,7.8,4.0,6.3,16.0,6.6,28.0,6.0,66.0,6.3,117.0,6.3,132.0,23.0
William Holden,peter muncie,arizona,0.0,0.0,0.0,0.0,0.0,0.0,227,2,180.0,1940,125,6.7,1157,2000000,0,0,6.7,1157,6.9,7.0,95,65,200,383,249,102,33,13,7,10,0,0,6.3,28.0,6.3,213.0,6.9,649.0,6.8,758.0,0,0,6.2,18.0,6.3,167.0,7.0,551.0,6.8,153.0,0,0,6.8,10.0,6.6,45.0,6.9,93.0,6.7,128.0,6.9,541.0,6.6,318.0,22.0
William Holden,george gibbs,our town,0.0,46.0,86.0,0.0,0.0,0.0,227,1,180.0,1940,90,6.6,2280,0,0,0,6.6,2280,6.8,7.0,252,190,367,572,412,247,118,55,31,36,0,0,6.2,109.0,6.3,585.0,6.9,1059.0,6.6,1428.0,0,0,6.2,85.0,6.3,455.0,6.8,859.0,6.8,351.0,0,0,6.4,24.0,6.5,125.0,7.2,189.0,6.5,173.0,6.7,1143.0,6.5,550.0,22.0
William Holden,joe bonaparte,golden boy,0.0,0.0,0.0,0.0,0.0,0.0,227,3,180.0,1939,99,6.9,1699,0,0,0,6.9,1699,7.0,7.0,124,123,305,579,336,137,48,25,12,10,0,0,7.0,59.0,6.8,421.0,6.9,840.0,6.8,1063.0,0,0,7.0,26.0,6.8,320.0,6.8,687.0,7.0,280.0,0,0,6.9,33.0,6.9,99.0,7.3,143.0,6.6,131.0,6.9,794.0,6.7,479.0,21.0
William Holden,tim taylor,invisible stripes,0.0,0.0,0.0,0.0,0.0,0.0,227,3,180.0,1939,81,6.7,1371,500000,0,0,6.7,1371,6.8,7.0,83,55,187,552,330,100,28,13,13,10,0,0,7.0,52.0,6.8,315.0,6.7,702.0,6.7,950.0,0,0,6.9,35.0,6.8,274.0,6.7,613.0,6.9,138.0,0,0,6.8,17.0,6.9,37.0,6.9,80.0,6.6,142.0,6.8,587.0,6.6,449.0,21.0
John Garfield,nick robey,he ran all the way,0.0,71.0,100.0,2.0,-0.065,0.1,109,1,170.0,1951,77,7.0,1868,0,0,0,7.0,1868,7.1,7.0,127,157,408,640,300,124,54,31,12,15,0,0,7.3,80.0,6.9,485.0,7.0,915.0,7.0,1312.0,0,0,7.1,58.0,6.9,413.0,7.0,802.0,7.4,196.0,0,0,8.1,22.0,7.3,67.0,7.3,99.0,6.9,181.0,7.0,777.0,6.9,655.0,38.0
John Garfield,dan butler,under my skin,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1950,86,6.6,261,0,0,0,6.6,261,6.7,7.0,21,12,36,74,66,33,10,1,4,4,5.0,2.0,6.2,7.0,6.6,54.0,6.5,157.0,6.5,198.0,5.0,1.0,5.8,5.0,6.6,46.0,6.4,138.0,6.8,28.0,5.0,1.0,7.5,2.0,6.9,8.0,6.8,17.0,6.1,76.0,6.6,99.0,6.4,114.0,37.0
John Garfield,harry morgan,the breaking point,0.0,86.0,100.0,1.0,0.7,0.6000000000000001,109,1,170.0,1950,97,7.5,2730,0,0,0,7.5,2730,7.5,8.0,244,373,865,761,293,97,32,29,12,24,6.5,2.0,7.8,137.0,7.4,773.0,7.5,1252.0,7.5,1971.0,7.0,1.0,7.8,116.0,7.5,683.0,7.5,1112.0,7.3,241.0,6.0,1.0,7.8,21.0,6.8,86.0,7.5,120.0,6.8,210.0,7.7,1128.0,7.3,927.0,37.0
John Garfield,tony fenner,we were strangers,0.0,70.0,73.0,4.0,0.3171875,0.4979166666666666,109,2,170.0,1949,106,6.6,964,900000,0,0,6.6,964,6.7,7.0,53,60,160,297,220,96,44,18,8,8,7.0,1.0,6.5,18.0,6.5,176.0,6.7,566.0,6.7,686.0,7.0,1.0,6.4,16.0,6.4,150.0,6.8,497.0,6.7,93.0,0,0,7.5,2.0,6.7,25.0,6.5,62.0,6.3,114.0,6.7,432.0,6.6,306.0,36.0
John Garfield,joe morse,force of evil,0.0,77.0,100.0,2.0,-0.014583333333333325,0.4298611111111112,109,1,170.0,1948,79,7.3,5670,0,1165000,89.0,7.3,5670,7.4,7.0,489,657,1594,1641,772,326,96,31,26,38,6.0,2.0,7.3,331.0,7.2,2133.0,7.3,2055.0,7.3,4137.0,6.0,2.0,7.3,285.0,7.3,1920.0,7.4,1838.0,7.1,433.0,0,0,7.2,45.0,7.0,194.0,7.2,182.0,7.0,259.0,7.4,1789.0,7.2,2537.0,35.0
John Garfield,dave goldman,gentlemans agreement,0.0,78.0,76.0,11.0,0.36780303030303024,0.6000000000000001,109,3,170.0,1947,118,7.2,14511,1985000,0,0,7.2,14511,7.4,7.0,1589,1584,3831,4164,1846,733,318,148,94,204,7.2,6.0,7.2,1370.0,7.1,5179.0,7.4,4792.0,7.2,9248.0,7.0,4.0,7.2,1056.0,7.1,4188.0,7.3,3759.0,7.5,2307.0,4.5,2.0,7.5,302.0,7.3,937.0,7.9,984.0,7.0,379.0,7.4,5371.0,7.1,5230.0,34.0
John Garfield,frank chambers,the postman always rings twice,0.0,79.0,89.0,1.0,-0.2625,0.6833333333333333,109,2,170.0,1946,113,7.5,18084,1683000,0,84.0,7.5,18084,7.5,8.0,1618,2297,5828,4974,2065,725,260,144,65,108,7.2,5.0,7.4,1454.0,7.4,6686.0,7.6,5908.0,7.5,11559.0,7.0,3.0,7.4,1031.0,7.4,5320.0,7.6,4890.0,7.5,2723.0,8.0,2.0,7.4,409.0,7.3,1287.0,7.7,929.0,7.4,430.0,7.6,5694.0,7.4,7536.0,33.0
John Garfield,nick blake,nobody lives forever,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1946,100,7.0,1302,0,0,0,7.0,1302,7.1,7.0,77,79,316,495,206,77,25,12,10,5,7.0,1.0,7.6,29.0,6.7,245.0,7.1,710.0,7.0,830.0,7.0,1.0,7.3,19.0,6.8,184.0,7.1,592.0,6.9,181.0,0,0,8.4,10.0,6.4,59.0,7.0,105.0,6.8,135.0,7.2,623.0,6.8,333.0,33.0
John Garfield,paul boray,humoresque,0.0,71.0,67.0,0.0,0.0,0.0,109,2,170.0,1946,125,7.3,3819,2164000,0,0,7.3,3819,7.6,8.0,783,461,866,893,418,189,64,27,43,75,6.3,3.0,7.4,154.0,7.3,908.0,7.3,1921.0,7.3,2197.0,6.0,1.0,7.2,89.0,7.3,639.0,7.3,1406.0,7.3,847.0,5.0,1.0,7.8,63.0,7.4,257.0,7.1,498.0,6.7,232.0,7.3,1717.0,7.3,1169.0,33.0
John Garfield,albert a al schmid,pride of the marines,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1945,120,7.3,1237,0,0,0,7.3,1237,7.5,8.0,187,141,292,348,159,53,24,17,3,13,0,0,7.3,21.0,7.2,195.0,7.3,705.0,7.2,800.0,0,0,7.1,16.0,7.0,154.0,7.2,601.0,7.7,149.0,0,0,8.2,5.0,7.7,41.0,7.6,97.0,6.6,135.0,7.4,629.0,6.9,266.0,32.0
John Garfield,tom prior,between two worlds,0.0,0.0,0.0,1.0,0.2,0.4611111111111111,109,1,170.0,1944,112,7.2,1717,0,0,0,7.2,1717,7.4,8.0,226,216,445,409,227,87,43,25,17,22,7.5,2.0,7.1,30.0,7.0,257.0,7.2,1014.0,7.1,1037.0,7.0,1.0,6.3,17.0,6.9,197.0,7.2,792.0,7.6,288.0,8.0,1.0,8.3,13.0,7.3,58.0,7.6,208.0,6.5,142.0,7.3,882.0,6.8,363.0,31.0
John Garfield,john `kit` mckittrick,the fallen sparrow,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1943,94,6.7,1256,0,0,0,6.7,1256,6.7,7.0,60,65,214,424,296,110,49,19,8,11,6.0,1.0,6.8,24.0,6.4,236.0,6.7,731.0,6.7,850.0,0,0,6.7,17.0,6.5,187.0,6.7,625.0,6.7,158.0,6.0,1.0,7.0,7.0,6.2,48.0,6.9,98.0,6.4,138.0,6.8,577.0,6.5,383.0,30.0
John Garfield,wolf,destination tokyo,0.0,65.0,80.0,0.0,0.0,0.0,109,2,170.0,1943,135,7.1,4541,0,0,0,7.1,4541,7.4,7.0,498,517,1067,1386,606,270,93,41,13,50,7.5,2.0,6.7,116.0,6.9,968.0,7.2,2500.0,7.1,3017.0,8.0,1.0,6.7,85.0,6.9,785.0,7.2,2071.0,7.3,638.0,7.0,1.0,6.6,31.0,6.9,179.0,7.6,410.0,6.8,226.0,7.3,2292.0,6.7,1153.0,30.0
John Garfield,aerial gunner,air force,0.0,70.0,80.0,2.0,0.28125,0.5052083333333334,109,1,170.0,1943,124,7.0,2859,2646000,0,0,7.0,2859,7.2,7.0,255,275,702,875,422,194,57,37,15,27,0,0,6.9,96.0,6.8,620.0,7.1,1504.0,7.0,2046.0,0,0,6.9,78.0,6.8,558.0,7.1,1360.0,6.9,211.0,0,0,7.0,17.0,6.2,59.0,7.1,129.0,6.8,216.0,7.1,1328.0,6.7,803.0,30.0
John Garfield,dr michael mike lewis,dangerously they live,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1941,77,6.5,360,0,0,0,6.5,360,6.5,6.0,14,21,32,109,109,44,20,5,4,2,0,0,7.0,1.0,6.6,48.0,6.5,219.0,6.5,228.0,0,0,0,0,6.4,33.0,6.5,187.0,6.7,48.0,0,0,7.0,1.0,6.9,15.0,6.6,31.0,6.4,54.0,6.6,204.0,6.2,64.0,28.0
John Garfield,daniel alvarez,tortilla flat,0.0,0.0,0.0,0.0,0.0,0.0,109,3,170.0,1942,105,6.3,1432,0,0,70.0,6.3,1432,6.4,7.0,82,61,208,393,319,173,101,42,27,26,0,0,6.4,41.0,6.2,285.0,6.3,766.0,6.3,917.0,0,0,6.5,24.0,6.3,221.0,6.3,646.0,6.1,199.0,0,0,6.2,16.0,6.1,60.0,6.1,115.0,6.1,142.0,6.4,694.0,6.1,370.0,29.0
John Garfield,george leach,the sea wolf,0.0,76.0,100.0,0.0,0.0,0.0,109,3,170.0,1941,100,7.5,3207,1013217,6192,0,7.5,3207,7.6,8.0,258,432,1125,829,340,130,43,20,13,17,0,0,7.1,109.0,7.4,785.0,7.5,1600.0,7.5,2250.0,0,0,7.1,91.0,7.4,688.0,7.5,1409.0,7.3,290.0,0,0,7.3,17.0,7.1,90.0,7.5,170.0,7.2,220.0,7.6,1342.0,7.3,1068.0,28.0
John Garfield,harold goff,out of the fog,0.0,0.0,0.0,0.0,0.0,0.0,109,2,170.0,1941,85,6.9,1254,0,0,0,6.9,1254,6.9,7.0,76,85,228,475,229,81,38,18,10,14,0,0,6.7,23.0,6.6,270.0,7.0,698.0,6.8,850.0,0,0,6.5,18.0,6.6,211.0,6.9,601.0,7.0,154.0,0,0,7.7,5.0,6.6,59.0,7.3,84.0,6.8,135.0,7.0,596.0,6.7,367.0,28.0
John Garfield,john alexander/johnny blake,flowing gold,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1940,81,6.6,286,0,0,0,6.6,286,6.7,7.0,12,14,34,104,84,27,7,1,1,2,0,0,7.0,1.0,6.5,49.0,6.6,159.0,6.5,180.0,0,0,0,0,6.3,33.0,6.5,140.0,6.8,35.0,0,0,7.0,1.0,6.7,16.0,6.8,18.0,6.4,49.0,6.6,153.0,6.5,61.0,27.0
John Garfield,joseph enrico joe lorenzo,east of the river,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1940,74,6.2,282,0,0,0,6.2,282,6.3,6.0,11,13,24,83,78,47,9,12,2,3,6.0,2.0,5.7,7.0,5.8,40.0,6.2,158.0,6.1,177.0,6.0,1.0,5.5,4.0,5.9,30.0,6.1,134.0,6.1,37.0,6.0,1.0,6.0,3.0,5.4,10.0,6.6,22.0,6.1,73.0,6.2,129.0,5.8,81.0,27.0
John Garfield,tommy gordon,castle on the hudson,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1940,77,6.8,573,0,0,0,6.8,573,6.9,7.0,30,26,94,241,110,46,11,6,0,9,0,0,6.4,8.0,6.6,91.0,6.8,320.0,6.7,357.0,0,0,6.7,3.0,6.5,68.0,6.8,272.0,7.1,76.0,0,0,6.3,5.0,7.1,23.0,7.3,48.0,6.5,84.0,6.8,267.0,6.6,147.0,27.0
John Garfield,rims rosson,saturdays children,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1940,102,6.4,398,0,0,0,6.4,398,6.5,7.0,15,20,54,119,109,47,15,8,7,4,0,0,6.7,7.0,6.1,54.0,6.4,225.0,6.3,227.0,0,0,6.7,3.0,6.1,38.0,6.4,176.0,6.5,71.0,0,0,7.5,4.0,6.1,16.0,6.6,47.0,6.3,57.0,6.3,233.0,6.6,52.0,27.0
John Garfield,joe bell,dust be my destiny,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1939,88,6.9,587,0,0,0,6.9,587,7.1,7.0,45,53,113,188,109,48,20,8,2,1,0,0,8.0,14.0,7.0,94.0,6.9,332.0,6.8,367.0,0,0,8.1,8.0,6.8,73.0,6.8,274.0,7.3,79.0,0,0,7.6,6.0,7.4,20.0,7.2,51.0,6.9,99.0,7.0,282.0,6.8,150.0,26.0
John Garfield,tim haydon,blackwells island,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1939,71,6.1,356,0,0,0,6.1,356,6.2,6.0,7,11,37,88,104,71,28,5,3,2,5.5,2.0,6.1,11.0,5.9,49.0,6.1,205.0,6.0,229.0,5.0,1.0,5.9,6.0,5.8,38.0,6.1,177.0,6.3,43.0,6.0,1.0,6.4,5.0,6.0,11.0,6.5,24.0,6.0,87.0,6.0,182.0,6.1,84.0,26.0
John Garfield,johnnie bradfield,they made me a criminal,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1939,92,6.9,1948,0,0,0,6.9,1948,7.2,7.0,189,188,412,588,337,137,52,26,11,8,0,0,6.9,51.0,6.7,467.0,6.9,988.0,6.8,1293.0,0,0,6.9,35.0,6.7,374.0,6.8,841.0,7.1,247.0,0,0,6.9,16.0,7.2,88.0,7.0,140.0,6.4,181.0,6.9,969.0,6.7,506.0,26.0
John Garfield,gabriel lopez,daughters courageous,0.0,0.0,0.0,0.0,0.0,0.0,109,1,170.0,1939,107,6.5,566,0,0,0,6.5,566,6.6,7.0,30,23,82,190,133,69,16,10,3,10,5.5,2.0,6.5,20.0,6.5,89.0,6.6,334.0,6.6,325.0,6.0,1.0,6.3,9.0,6.5,58.0,6.7,248.0,6.5,129.0,5.0,1.0,6.7,11.0,6.6,29.0,6.5,83.0,6.2,112.0,6.6,286.0,6.5,152.0,26.0
John Garfield,mickey borden,four daughters,0.0,77.0,100.0,0.0,0.0,0.0,109,2,170.0,1938,90,6.9,1656,0,0,0,6.9,1656,7.1,7.0,110,136,392,564,241,106,53,19,14,21,0,0,7.0,69.0,7.0,403.0,6.9,804.0,6.9,940.0,0,0,7.0,43.0,6.9,270.0,6.8,598.0,7.2,370.0,0,0,7.1,26.0,7.4,130.0,7.1,198.0,6.5,159.0,7.0,861.0,6.7,380.0,25.0
Cary Grant,sir william rutland,walk dont run,0.0,70.0,83.0,0.0,0.0,0.0,30,1,186.0,1966,114,6.7,3713,0,0,0,6.7,3713,6.9,7.0,323,242,599,1100,839,322,144,67,40,37,0,0,6.9,141.0,6.7,940.0,6.6,1735.0,6.6,2004.0,0,0,6.8,68.0,6.6,603.0,6.6,1283.0,6.9,851.0,0,0,7.1,72.0,6.9,326.0,6.8,426.0,6.3,186.0,6.8,1567.0,6.5,1088.0,62.0
Cary Grant,walter christopher eckland,father goose,0.0,86.0,80.0,0.0,0.0,0.0,30,1,186.0,1964,118,7.4,9390,0,0,0,7.4,9390,7.6,8.0,1225,1198,2587,2560,1100,405,139,67,50,59,8.0,1.0,7.5,378.0,7.2,2350.0,7.5,4220.0,7.3,5360.0,8.0,1.0,7.3,230.0,7.1,1624.0,7.4,3332.0,7.6,1756.0,0,0,7.8,142.0,7.5,705.0,7.6,840.0,6.7,284.0,7.6,4171.0,7.1,2418.0,60.0
Cary Grant,peter joshua,charade,0.0,92.0,94.0,12.0,0.08402777777777777,0.5850115740740741,30,1,186.0,1963,113,7.9,66360,3000000,173057,83.0,7.9,66360,8.0,8.0,10879,12810,22571,12581,4447,1428,565,309,189,581,7.9,25.0,8.0,8436.0,7.9,26138.0,7.9,15761.0,7.8,38131.0,7.8,19.0,7.9,5121.0,7.8,19258.0,7.9,12516.0,8.0,13342.0,7.9,5.0,8.1,3180.0,8.0,6553.0,8.1,3009.0,7.7,580.0,8.1,18385.0,7.8,27850.0,59.0
Cary Grant,philip shayne,that touch of mink,0.0,70.0,78.0,0.0,0.0,0.0,30,1,186.0,1962,99,6.7,8356,0,0,0,6.7,8356,6.9,7.0,681,593,1358,2531,1834,752,314,120,87,86,7.0,1.0,6.5,487.0,6.6,2430.0,6.8,3424.0,6.6,4047.0,7.0,1.0,6.3,190.0,6.4,1341.0,6.7,2407.0,6.9,2417.0,0,0,6.6,288.0,6.8,1062.0,7.2,964.0,6.2,269.0,6.8,3056.0,6.5,2837.0,58.0
Cary Grant,victor rhyall,the grass is greener,0.0,64.0,88.0,0.0,0.0,0.0,30,1,186.0,1960,104,6.5,4387,0,0,0,6.5,4387,6.7,7.0,298,279,715,1302,990,420,183,69,50,81,0,0,6.6,230.0,6.5,1291.0,6.6,1852.0,6.5,2401.0,0,0,6.7,116.0,6.4,826.0,6.5,1385.0,6.7,1035.0,0,0,6.5,112.0,6.6,450.0,7.0,441.0,6.1,215.0,6.7,1463.0,6.5,1744.0,56.0
Cary Grant,roger o thornhill/george kaplan,north by northwest,0.0,94.0,99.0,21.0,0.27362155388471177,0.5962500000000001,30,1,186.0,1959,136,8.3,291628,3101000,73446,98.0,8.3,291628,8.2,8.0,59667,75025,85331,43660,14157,5703,2630,1414,1108,2933,8.3,126.0,8.2,41547.0,8.2,114559.0,8.5,54912.0,8.3,185317.0,8.4,103.0,8.2,34281.0,8.2,97472.0,8.5,45923.0,8.2,32144.0,7.9,18.0,8.0,6711.0,8.1,15828.0,8.5,8193.0,8.4,754.0,8.5,68277.0,8.2,120814.0,55.0
Cary Grant,lt cmdr matt t sherman,operation petticoat,0.0,81.0,81.0,4.0,0.10694444444444444,0.7805555555555556,30,1,186.0,1959,124,7.3,12367,0,0,0,7.3,12367,7.4,7.0,1314,1437,3210,3758,1609,592,227,93,42,85,7.3,3.0,7.1,530.0,7.0,3250.0,7.4,5521.0,7.2,7549.0,7.3,3.0,7.2,345.0,7.0,2391.0,7.4,4549.0,7.4,1970.0,0,0,7.1,175.0,7.3,816.0,7.6,894.0,6.9,325.0,7.4,3990.0,7.1,4706.0,55.0
Cary Grant,philip adams,indiscreet,0.0,69.0,100.0,7.0,0.2446717171717171,0.6687445887445888,30,1,186.0,1958,100,6.8,7528,0,0,0,6.8,7528,6.9,7.0,562,514,1377,2474,1508,633,222,110,58,70,9.0,1.0,6.8,442.0,6.7,2269.0,6.9,2973.0,6.7,3966.0,9.0,1.0,6.6,219.0,6.5,1436.0,6.7,2184.0,7.1,1844.0,0,0,7.0,219.0,7.1,807.0,7.3,754.0,6.4,258.0,7.0,2400.0,6.7,2965.0,54.0
Cary Grant,commander andy crewson,kiss them for me,0.0,0.0,0.0,0.0,0.0,0.0,30,1,186.0,1957,105,5.7,1865,1945000,0,0,5.7,1865,5.9,6.0,99,61,154,334,477,374,196,81,53,36,6.5,2.0,5.6,72.0,5.7,467.0,5.7,935.0,5.7,1130.0,5.0,1.0,5.7,38.0,5.8,309.0,5.7,753.0,5.6,371.0,8.0,1.0,5.4,34.0,5.6,153.0,5.6,170.0,5.6,186.0,5.8,831.0,5.6,578.0,53.0
Cary Grant,anthony,the pride and the passion,0.0,25.0,22.0,3.0,0.09166666666666667,0.61875,30,1,186.0,1957,132,5.7,2469,4000000,0,0,5.7,2469,5.8,6.0,121,89,166,449,634,501,279,113,63,54,0,0,5.6,78.0,5.6,581.0,5.8,1250.0,5.8,1650.0,0,0,5.8,53.0,5.7,458.0,5.9,1096.0,5.3,294.0,0,0,5.1,25.0,5.2,121.0,5.6,140.0,5.5,187.0,5.7,764.0,5.8,1072.0,53.0
Cary Grant,nickie ferrante,an affair to remember,0.0,87.0,65.0,3.0,-0.06365740740740743,0.5655092592592593,30,1,186.0,1957,115,7.5,27148,0,1854,0,7.5,27148,7.7,8.0,4354,3829,7293,6609,2837,1125,491,259,157,194,7.7,9.0,7.6,2993.0,7.5,10241.0,7.6,7837.0,7.3,12638.0,8.5,4.0,7.4,1292.0,7.2,5632.0,7.4,5353.0,7.9,8931.0,7.6,5.0,7.8,1667.0,7.8,4498.0,8.0,2384.0,7.0,414.0,7.6,8954.0,7.4,10449.0,53.0
