actor,role,title,award,score_1,score_2,num_reviews,polarity_mean,objectivity_mean,numeric_key,ordering,height,year,duration,avg_vote,votes,budget,worlwide_gross_income,metascore,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes,age_at_performance
Tommy Lee Jones,ty cobb,cobb,0.0,59.0,65.0,18.0,0.22464457417582415,0.5905963827838827,214,1,183.0,1994,128,6.4,6985,0,1007583,66.0,6.4,6985,6.5,7.0,382,439,975,1872,1756,840,337,144,105,135,0,0,6.5,162.0,6.4,2870.0,6.4,2277.0,6.5,4994.0,0,0,6.5,149.0,6.5,2663.0,6.5,2078.0,6.2,370.0,0,0,5.7,12.0,6.2,171.0,6.3,178.0,6.1,209.0,6.5,3185.0,6.4,1800.0,48.0
Tommy Lee Jones,samuel gerard,the fugitive,0.0,89.0,96.0,19.0,0.2132482993197279,0.5070101686507936,214,2,183.0,1993,130,7.8,262199,44000000,368875760,87.0,7.8,262199,7.8,8.0,27148,43424,98296,63953,19309,5834,1910,889,522,914,7.8,84.0,7.8,28483.0,7.7,120684.0,7.8,46028.0,7.8,177034.0,7.9,66.0,7.8,25119.0,7.8,106235.0,7.8,38770.0,7.7,23692.0,7.1,13.0,7.6,2965.0,7.6,13127.0,7.9,6598.0,7.7,800.0,8.0,61803.0,7.7,114007.0,47.0
Tommy Lee Jones,jake beerlander,house of cards,0.0,69.0,56.0,2.0,0.3,0.6857142857142857,214,2,183.0,1993,109,6.3,2531,0,322871,0,6.3,2531,6.5,6.0,293,129,309,491,597,360,175,85,43,49,0,0,7.0,117.0,6.3,1001.0,6.1,770.0,6.0,1251.0,0,0,6.5,51.0,6.0,624.0,5.9,547.0,7.0,665.0,0,0,7.6,64.0,7.0,368.0,6.7,214.0,5.8,93.0,6.1,769.0,6.3,985.0,47.0
Tommy Lee Jones,william stranix,under siege,0.0,62.0,79.0,6.0,0.03402777777777779,0.75625,214,3,183.0,1992,103,6.5,74910,35000000,156563139,58.0,6.5,74910,6.6,7.0,4422,3671,10944,21692,18281,8416,3630,1779,981,1094,6.8,10.0,6.4,5010.0,6.4,37468.0,6.5,15160.0,6.5,55495.0,6.8,8.0,6.4,4660.0,6.5,35199.0,6.5,13701.0,6.2,3628.0,5.5,2.0,6.4,297.0,6.1,1916.0,6.4,1271.0,6.3,605.0,6.7,15524.0,6.4,36794.0,46.0
Tommy Lee Jones,brad little,fire birds,0.0,36.0,10.0,9.0,0.11696428571428573,0.3789351851851852,214,2,183.0,1990,85,4.8,5796,22000000,14760451,0,4.8,5796,4.8,5.0,255,98,237,504,862,1265,1102,698,397,378,0,0,4.5,168.0,4.9,2432.0,4.7,1773.0,4.8,4080.0,0,0,4.4,147.0,4.9,2241.0,4.7,1578.0,5.0,364.0,0,0,5.1,19.0,4.5,162.0,5.2,169.0,4.5,199.0,4.8,1733.0,4.8,2348.0,44.0
Tommy Lee Jones,thomas boyette,the package,0.0,44.0,60.0,2.0,0.2833333333333333,0.3833333333333333,214,2,183.0,1989,108,6.4,8453,18000000,10647219,55.0,6.4,8453,6.5,7.0,327,290,1055,2568,2473,1081,385,127,74,73,0,0,6.4,206.0,6.3,2809.0,6.5,3485.0,6.4,6212.0,0,0,6.4,183.0,6.3,2649.0,6.5,3199.0,6.5,413.0,0,0,6.9,20.0,5.9,129.0,6.7,252.0,6.2,285.0,6.5,2325.0,6.3,3790.0,43.0
Tommy Lee Jones,cosmo,stormy monday,0.0,47.0,75.0,6.0,0.19722222222222224,0.3588888888888889,214,2,183.0,1988,93,6.2,3551,0,1791328,0,6.2,3551,6.4,6.0,190,156,506,827,977,474,227,88,51,55,5.5,2.0,6.5,97.0,6.1,1019.0,6.3,1579.0,6.2,2343.0,5.0,1.0,6.5,78.0,6.1,862.0,6.3,1346.0,6.2,384.0,6.0,1.0,6.6,19.0,6.0,136.0,6.2,216.0,5.8,207.0,6.2,837.0,6.2,1748.0,42.0
Tommy Lee Jones,george cole,the big town,0.0,36.0,57.0,1.0,0.3,0.2,214,3,183.0,1987,109,5.9,1780,0,1733017,48.0,5.9,1780,6.0,6.0,64,60,137,346,544,356,168,47,21,37,0,0,6.2,47.0,5.9,497.0,6.0,821.0,6.0,1201.0,0,0,6.1,32.0,5.9,414.0,6.0,727.0,5.9,177.0,0,0,6.7,15.0,5.8,75.0,5.9,81.0,5.6,126.0,6.1,569.0,5.9,724.0,41.0
Tommy Lee Jones,quint,black moon rising,0.0,23.0,43.0,3.0,0.13333333333333333,0.5416666666666666,214,1,183.0,1986,100,5.5,5095,0,6637565,53.0,5.5,5095,5.6,6.0,224,61,261,715,1344,1333,625,298,123,111,0,0,5.7,151.0,5.5,1947.0,5.4,1913.0,5.5,3745.0,0,0,5.7,128.0,5.5,1787.0,5.4,1739.0,5.6,314.0,0,0,5.8,19.0,5.5,141.0,5.6,146.0,5.1,244.0,5.6,1253.0,5.4,2501.0,40.0
Tommy Lee Jones,billy,the river rat,0.0,0.0,0.0,0.0,0.0,0.0,214,1,183.0,1984,93,6.3,826,0,1142944,0,6.3,826,6.6,7.0,59,50,121,184,240,98,36,21,8,9,0,0,6.3,9.0,6.3,198.0,6.4,410.0,6.2,502.0,0,0,6.4,7.0,6.2,145.0,6.3,337.0,6.9,121.0,0,0,6.0,2.0,6.7,49.0,7.0,67.0,5.9,80.0,6.6,338.0,6.1,247.0,38.0
