ACTOR,ROLE,TITLE,AWARD,SCORE_1,SCORE_2,NUM_REVIEWS,polarity_mean,objectivity_mean,NUMERIC_KEY
Dustin Hoffman,benjamin braddock,the graduate,1.0,90.0,87.0,22.0,0.1780284838618172,0.5411715185399396,56
Dustin Hoffman,enrico salvatore ratso rico rizzo,midnight cowboy,1.0,88.0,88.0,17.0,0.09472470238095236,0.584031746031746,56
Dustin Hoffman,lenny bruce,lenny,1.0,88.0,88.0,1.0,0.7,0.6000000000000001,56
Dustin Hoffman,ted kramer,kramer vs kramer,2.0,89.0,88.0,14.0,0.22857193732193734,0.509059829059829,56
Dustin Hoffman,michael dorsey / dorothy michaels,tootsie,1.0,81.0,90.0,10.0,0.32333333333333336,0.7135714285714286,56
Dustin Hoffman,raymond babbitt,rain man,2.0,90.0,89.0,17.0,0.2738095238095238,0.5875471230158731,56
Dustin Hoffman,stanley motss,wag the dog,1.0,76.0,85.0,19.0,0.16299603174603175,0.5991479925303455,56
Ed Harris,jackson pollock,pollock,1.0,74.0,81.0,24.0,0.19134299342632677,0.5756443402276736,57
Eddie Redmayne,stephen hawking,the theory of everything,2.0,84.0,80.0,60.0,0.23859838274932613,0.5873200602079912,58
Eddie Redmayne,lili elbe,the danish girl,1.0,72.0,67.0,47.0,0.2790657081014224,0.5910917658730159,58
Edward James Olmos,jaime escalante,stand and deliver,1.0,79.0,82.0,7.0,0.13764880952380953,0.7161904761904762,59
Edward Norton,derek vinyard,american history x,1.0,96.0,83.0,21.0,0.21580577601410936,0.5505863095238095,60
Emil Jannings,august schilling,the way of all flesh,2.0,40.0,88.0,5.0,0.20017045454545457,0.43983333333333335,61
Emil Jannings,grand duke sergius alexander,the last command,2.0,91.0,100.0,7.0,0.2784848484848485,0.48977272727272725,61
Ernest Borgnine,marty piletti,marty,2.0,87.0,98.0,8.0,0.3348944805194805,0.6029369588744589,62
F. Murray Abraham,antonio salieri,amadeus,2.0,95.0,93.0,23.0,0.2411904761904762,0.6224498746867168,63
Forest Whitaker,idi amin,the last king of scotland,2.0,89.0,87.0,38.0,0.08204749103942652,0.5737205387205387,64
Franchot Tone,midshipman roger byam,mutiny on the bounty,1.0,83.0,93.0,10.0,0.3319444444444445,0.6269097222222223,65
Frank Langella,richard nixon,frost/nixon,1.0,88.0,93.0,42.0,0.25214388785817354,0.5438882063882065,66
Frank Morgan,alessandro duke of florence,the affairs of cellini,1.0,0.0,0.0,0.0,0.0,0.0,67
Frank Sinatra,frankie machine,the man with the golden arm,1.0,84.0,86.0,7.0,0.31351190476190477,0.7305952380952382,68
Fredric March,tony cavendish,the royal family of broadway,1.0,0.0,0.0,0.0,0.0,0.0,69
